id_candidate_seq	id_candidate_num	cat_candidate_name	cat_state	cat_party	cat_coalition	cat_composition	cat_eletion_result	num_turn	num_votes	cat_political_office
10000000135	5050	EMERSON DA SILVA SANTOS	AC	PSOL	PARTIDO ISOLADO	PSOL	NÃO ELEITO	1	37	Deputado Federal
10000000142	5051	GERALDO SILVA DOS SANTOS	AC	PSOL	PARTIDO ISOLADO	PSOL	NÃO ELEITO	1	383	Deputado Federal
10000000158	4040	CARLOS CESAR CORREIA DE MESSIAS	AC	PSB	FRENTE POPULAR DO ACRE II	PT / PEN / PROS / PDT / PTB / PSL / PTN / PSDC / PHS / PSB / PRP / PPL / PRB / PC do B	ELEITO POR QP	1	26448	Deputado Federal
10000000161	1333	IDESIO LUIS FRANKE	AC	PT	FRENTE POPULAR DO ACRE II	PT / PEN / PROS / PDT / PTB / PSL / PTN / PSDC / PHS / PSB / PRP / PPL / PRB / PC do B	SUPLENTE	1	9896	Deputado Federal
10000000163	1331	LEONARDO CUNHA DE BRITO	AC	PT	FRENTE POPULAR DO ACRE II	PT / PEN / PROS / PDT / PTB / PSL / PTN / PSDC / PHS / PSB / PRP / PPL / PRB / PC do B	ELEITO POR QP	1	20876	Deputado Federal
10000000164	1310	MARCELO FEITOSA DE ARAÚJO	AC	PT	FRENTE POPULAR DO ACRE II	PT / PEN / PROS / PDT / PTB / PSL / PTN / PSDC / PHS / PSB / PRP / PPL / PRB / PC do B	SUPLENTE	1	1025	Deputado Federal
10000000166	1314	RAIMUNDO ANGELIM VASCONCELOS	AC	PT	FRENTE POPULAR DO ACRE II	PT / PEN / PROS / PDT / PTB / PSL / PTN / PSDC / PHS / PSB / PRP / PPL / PRB / PC do B	ELEITO POR QP	1	39844	Deputado Federal
10000000168	9090	RAMAO VIEIRA DE OLIVEIRA	AC	PROS	FRENTE POPULAR DO ACRE II	PT / PEN / PROS / PDT / PTB / PSL / PTN / PSDC / PHS / PSB / PRP / PPL / PRB / PC do B	SUPLENTE	1	1994	Deputado Federal
10000000169	1400	REGINA AMELIA D ALENCAR LINO	AC	PTB	FRENTE POPULAR DO ACRE II	PT / PEN / PROS / PDT / PTB / PSL / PTN / PSDC / PHS / PSB / PRP / PPL / PRB / PC do B	SUPLENTE	1	3842	Deputado Federal
10000000170	1321	ROSELI COSTA	AC	PT	FRENTE POPULAR DO ACRE II	PT / PEN / PROS / PDT / PTB / PSL / PTN / PSDC / PHS / PSB / PRP / PPL / PRB / PC do B	SUPLENTE	1	1913	Deputado Federal
10000000171	1313	SEBASTIÃO SIBÁ MACHADO OLIVEIRA	AC	PT	FRENTE POPULAR DO ACRE II	PT / PEN / PROS / PDT / PTB / PSL / PTN / PSDC / PHS / PSB / PRP / PPL / PRB / PC do B	ELEITO POR QP	1	18395	Deputado Federal
10000000172	6513	MOISES DINIZ LIMA	AC	PC do B	FRENTE POPULAR DO ACRE II	PT / PEN / PROS / PDT / PTB / PSL / PTN / PSDC / PHS / PSB / PRP / PPL / PRB / PC do B	SUPLENTE	1	13738	Deputado Federal
10000000173	1012	ALAN RICK MIRANDA	AC	PRB	FRENTE POPULAR DO ACRE II	PT / PEN / PROS / PDT / PTB / PSL / PTN / PSDC / PHS / PSB / PRP / PPL / PRB / PC do B	ELEITO POR MÉDIA	1	17903	Deputado Federal
10000000176	1919	JUAREZ PEDROSA CAVALCANTE	AC	PTN	FRENTE POPULAR DO ACRE II	PT / PEN / PROS / PDT / PTB / PSL / PTN / PSDC / PHS / PSB / PRP / PPL / PRB / PC do B	SUPLENTE	1	515	Deputado Federal
10000000177	4444	RAIMUNDO VAZ DE AZEVEDO	AC	PRP	FRENTE POPULAR DO ACRE II	PT / PEN / PROS / PDT / PTB / PSL / PTN / PSDC / PHS / PSB / PRP / PPL / PRB / PC do B	SUPLENTE	1	11229	Deputado Federal
10000000178	1212	JOSÉ LUIS SCHAFER	AC	PDT	FRENTE POPULAR DO ACRE II	PT / PEN / PROS / PDT / PTB / PSL / PTN / PSDC / PHS / PSB / PRP / PPL / PRB / PC do B	SUPLENTE	1	11397	Deputado Federal
10000000179	3131	FRANCE SPYM PINTRO SOSTER	AC	PHS	FRENTE POPULAR DO ACRE II	PT / PEN / PROS / PDT / PTB / PSL / PTN / PSDC / PHS / PSB / PRP / PPL / PRB / PC do B	SUPLENTE	1	5871	Deputado Federal
10000000180	2727	JOSE AFONSO VASCONCELOS FERNADES	AC	PSDC	FRENTE POPULAR DO ACRE II	PT / PEN / PROS / PDT / PTB / PSL / PTN / PSDC / PHS / PSB / PRP / PPL / PRB / PC do B	SUPLENTE	1	3343	Deputado Federal
10000000327	4321	FRANCISCO ANTONIO LIRA DA SILVA MONTEIRO	AC	PV	PRODUZIR PARA EMPREGAR	DEM / PV / PMN	NÃO ELEITO	1	665	Deputado Federal
10000000347	4399	HILÁRIO JOSÉ DO NASCIMENTO	AC	PV	PRODUZIR PARA EMPREGAR	DEM / PV / PMN	NÃO ELEITO	1	838	Deputado Federal
10000000348	4325	MARIA JOICILENE SOUZA SILVA NOBRE	AC	PV	PRODUZIR PARA EMPREGAR	DEM / PV / PMN	NÃO ELEITO	1	1199	Deputado Federal
10000000349	4343	SHIRLEY TORRES DE ARAÚJO	AC	PV	PRODUZIR PARA EMPREGAR	DEM / PV / PMN	NÃO ELEITO	1	1377	Deputado Federal
10000000358	3333	VALDETE DE SOUZA	AC	PMN	PRODUZIR PARA EMPREGAR	DEM / PV / PMN	NÃO ELEITO	1	668	Deputado Federal
10000000363	2511	FRANCISCO CARLOS OLIVEIRA DE LIMA	AC	DEM	PRODUZIR PARA EMPREGAR	DEM / PV / PMN	NÃO ELEITO	1	10306	Deputado Federal
10000000365	2500	JOAQUIM LIRA DE CARVALHO	AC	DEM	PRODUZIR PARA EMPREGAR	DEM / PV / PMN	NÃO ELEITO	1	962	Deputado Federal
10000000366	2580	JOSÉ AUGUSTO LEANDRO RODRIGUES	AC	DEM	PRODUZIR PARA EMPREGAR	DEM / PV / PMN	NÃO ELEITO	1	2011	Deputado Federal
10000000367	2515	MARIA TERESA GAUNA	AC	DEM	PRODUZIR PARA EMPREGAR	DEM / PV / PMN	NÃO ELEITO	1	145	Deputado Federal
10000000368	2525	NORMANDO RODRIGUES SALES	AC	DEM	PRODUZIR PARA EMPREGAR	DEM / PV / PMN	NÃO ELEITO	1	6451	Deputado Federal
10000000369	2533	MARIA SOCORRO SOARES DE OLIVEIRA	AC	DEM	PRODUZIR PARA EMPREGAR	DEM / PV / PMN	NÃO ELEITO	1	663	Deputado Federal
10000000370	2577	SAULO DE FREITAS RIBEIRO	AC	DEM	PRODUZIR PARA EMPREGAR	DEM / PV / PMN	NÃO ELEITO	1	525	Deputado Federal
10000000371	2555	SEBASTIÃO ALVES RODRIGUES MANCHINERY	AC	DEM	PRODUZIR PARA EMPREGAR	DEM / PV / PMN	NÃO ELEITO	1	1135	Deputado Federal
10000000602	2323	DEODATO NUNES DE FRANÇA	AC	PPS	ALIANÇA POR UM ACRE MELHOR I - FEDERAL	PP / PMDB / PSC / PR / PPS / PTC / PSDB / PSD / PT do B / SD	SUPLENTE	1	3487	Deputado Federal
10000000603	7070	FRANCISCO CARLOS OLIVEIRA DA CRUZ	AC	PT do B	ALIANÇA POR UM ACRE MELHOR I - FEDERAL	PP / PMDB / PSC / PR / PPS / PTC / PSDB / PSD / PT do B / SD	SUPLENTE	1	1154	Deputado Federal
10000000605	5533	MARFIZA DE LIMA GALVÃO	AC	PSD	ALIANÇA POR UM ACRE MELHOR I - FEDERAL	PP / PMDB / PSC / PR / PPS / PTC / PSDB / PSD / PT do B / SD	SUPLENTE	1	17300	Deputado Federal
