id_candidate_seq	id_candidate_num	cat_candidate_name	cat_state	cat_party	cat_coalition	cat_composition	cat_eletion_result	num_turn	num_votes	cat_political_office
10000000001	111	GLADSON DE LIMA CAMELI	AC	PP	ALIANÇA POR UM ACRE MELHOR	PMDB / PSDB / PT do B / PSC / PTC / PPS / PR / SD / PP / PSD	ELEITO	1	218756	Senador
10000000003	45	MÁRCIO MIGUEL BITTAR	AC	PSDB	ALIANÇA POR UM ACRE MELHOR	PMDB / PSDB / PT do B / PSC / PTC / PPS / PR / SD / PP / PSD	2º TURNO	1	116948	Governador
10000000003	45	MÁRCIO MIGUEL BITTAR	AC	PSDB	ALIANÇA POR UM ACRE MELHOR	PMDB / PSDB / PT do B / PSC / PTC / PPS / PR / SD / PP / PSD	NÃO ELEITO	2	186658	Governador
10000000021	12123	HENRY ANTONIO SILVA NOGUEIRA	AC	PDT	PARTIDO ISOLADO	PDT	SUPLENTE	1	2605	Deputado Estadual
10000000022	12012	ZENILDO VIEIRA DA SILVA	AC	PDT	PARTIDO ISOLADO	PDT	NÃO ELEITO	1	0	Deputado Estadual
10000000023	12570	JOSÉ ALVES DA SILVA	AC	PDT	PARTIDO ISOLADO	PDT	SUPLENTE	1	47	Deputado Estadual
10000000024	12456	MARCOS GLAY RIBEIRO DE SOUZA	AC	PDT	PARTIDO ISOLADO	PDT	SUPLENTE	1	172	Deputado Estadual
10000000025	12111	JOSÉ ALTANIZIO TAUMATURGO SÁ	AC	PDT	PARTIDO ISOLADO	PDT	SUPLENTE	1	2196	Deputado Estadual
10000000026	12147	AURELIANO ALVES RABELO	AC	PDT	PARTIDO ISOLADO	PDT	SUPLENTE	1	486	Deputado Estadual
10000000027	12580	JOSE AUGUSTO PINHEIRO DA SILVEIRA	AC	PDT	PARTIDO ISOLADO	PDT	SUPLENTE	1	1454	Deputado Estadual
10000000028	12777	GILBERTO CABRAL DE MOURA	AC	PDT	PARTIDO ISOLADO	PDT	SUPLENTE	1	1563	Deputado Estadual
10000000029	12600	MARIA DE FATIMA BARROSO DO PATROCINIO	AC	PDT	PARTIDO ISOLADO	PDT	SUPLENTE	1	14	
10000000030	12320	LUZIA MONTEIRO DE SOUZA	AC	PDT	PARTIDO ISOLADO	PDT	SUPLENTE	1	2	
