id_candidate_seq	id_candidate_num	cat_candidate_name	cat_state	cat_party	cat_coalition	cat_composition	cat_eletion_result	num_turn	num_votes	cat_political_office
10000000003	45	MÁRCIO MIGUEL BITTAR	AC	PSDB	ALIANÇA POR UM ACRE MELHOR	PMDB / PSDB / PT do B / PSC / PTC / PPS / PR / SD / PP / PSD	2º TURNO	1	116948	Governador
10000000003	45	MÁRCIO MIGUEL BITTAR	AC	PSDB	ALIANÇA POR UM ACRE MELHOR	PMDB / PSDB / PT do B / PSC / PTC / PPS / PR / SD / PP / PSD	NÃO ELEITO	2	186658	Governador
10000000146	50	ANTONIO DA CRUZ DA ROCHA ALVES	AC	PSOL	PARTIDO ISOLADO	PSOL	NÃO ELEITO	1	2171	Governador
10000000152	13	SEBASTIÃO AFONSO VIANA MACEDO NEVES	AC	PT	FRENTE POPULAR DO ACRE	PDT / PRB / PT / PSL / PTN / PSDC / PHS / PSB / PRP / PEN / PPL / PC do B / PROS / PTB	2º TURNO	1	193253	Governador
10000000152	13	SEBASTIÃO AFONSO VIANA MACEDO NEVES	AC	PT	FRENTE POPULAR DO ACRE	PDT / PRB / PT / PSL / PTN / PSDC / PHS / PSB / PRP / PEN / PPL / PC do B / PROS / PTB	ELEITO	2	196509	Governador
10000000364	25	SEBASTIÃO BOCALOM RODRIGUES	AC	DEM	PRODUZIR PARA EMPREGAR	DEM / PV / PMN	NÃO ELEITO	1	76218	Governador
20000000001	21	GOLBERY LUIZ LESSA DE MOURA	AL	PCB	PARTIDO ISOLADO	PCB	NÃO ELEITO	1	3950	Governador
20000000004	50	MÁRIO AGRA JÚNIOR	AL	PSOL	FRENTE DE ESQUERDA DE ALAGOAS	PSOL / PSTU	NÃO ELEITO	1	60816	Governador
20000000026	51	ADROALDO FREITAS GOULART FILHO	AL	PEN	PARTIDO ISOLADO	PEN	NÃO ELEITO	1	2732	Governador
20000000032	19	LUCIANO BALBINO DOS SANTOS	AL	PTN	PARTIDO ISOLADO	PTN	NÃO ELEITO	1	1820	Governador
20000000100	11	BENEDITO DE LIRA	AL	PP	JUNTOS COM O POVO PELA MELHORIA DE ALAGOAS	PPS / PP / PSDC / PRP / PR / PSL / PSB / DEM / SD	NÃO ELEITO	1	435827	Governador
20000000202	15	JOSE RENAN VASCONCELOS CALHEIROS FILHO	AL	PMDB	COM O POVO PRA ALAGOAS MUDAR	PV / PT do B / PMDB / PROS / PC do B / PSC / PHS / PTB / PSD / PDT / PT	ELEITO	1	670310	Governador
20000000561	45	JULIO CEZAR DA SILVA	AL	PSDB	UM NOVO JEITO DE FAZER	PSDB / PRB	NÃO ELEITO	1	101757	Governador
30000000001	16	GENIVAL CRUZ DE ARAUJO	AP	PSTU	PARTIDO ISOLADO	PSTU	NÃO ELEITO	1	5306	Governador
30000000057	55	LUIZ CANTUARIA BARRETO	AP	PSD	JUNTOS PELO DESENVOLVIMENTO PELA PAZ E PELA VIDA	DEM / PSDB / SD / PSD	NÃO ELEITO	1	53079	Governador
30000000088	12	ANTÔNIO WALDEZ GÓES DA SILVA	AP	PDT	A FORÇA DO POVO	PP / PDT / PMDB	2º TURNO	1	161550	Governador
30000000088	12	ANTÔNIO WALDEZ GÓES DA SILVA	AP	PDT	A FORÇA DO POVO	PP / PDT / PMDB	ELEITO	2	220256	Governador
30000000135	21	DÉCIO ARAÚJO GOMES	AP	PCB	PARTIDO ISOLADO	PCB	NÃO ELEITO	1	455	Governador
30000000140	23	JORGE EMANOEL AMANAJAS CARDOSO	AP	PPS	O FUTURO COMEÇA AGORA	PSC / PPS / PRTB / PMN / PTC / PRP / PPL / PTB	NÃO ELEITO	1	27045	Governador
