id_candidate_seq	id_candidate_num	cat_candidate_name	cat_state	cat_party	cat_coalition	cat_composition	cat_eletion_result	num_turn	num_votes	cat_political_office
10000000001	111	GLADSON DE LIMA CAMELI	AC	PP	ALIANÇA POR UM ACRE MELHOR	PMDB / PSDB / PT do B / PSC / PTC / PPS / PR / SD / PP / PSD	ELEITO	1	218756	Senador
10000000141	500	FORTUNATO MARTINS FILHO	AC	PSOL	PARTIDO ISOLADO	PSOL	NÃO ELEITO	1	2232	Senador
10000000154	654	MARIA PERPETUA DE ALMEIDA	AC	PC do B	FRENTE POPULAR DO ACRE	PDT / PRB / PT / PSL / PTN / PSDC / PHS / PSB / PRP / PEN / PPL / PC do B / PROS / PTB	NÃO ELEITO	1	136706	Senador
10000000355	333	ROBERTO DUARTE JUNIOR	AC	PMN	PRODUZIR PARA EMPREGAR	DEM / PV / PMN	NÃO ELEITO	1	17119	Senador
20000000012	500	HELOÍSA HELENA LIMA DE MORAES	AL	PSOL	FRENTE DE ESQUERDA DE ALAGOAS	PSOL / PSTU	NÃO ELEITO	1	394309	Senador
20000000028	511	MARCOS ANTONIO CARDOSO DE BRITO	AL	PEN	PARTIDO ISOLADO	PEN	NÃO ELEITO	1	1922	Senador
20000000034	192	MARCOS BARROS AGUIAR	AL	PTN	PARTIDO ISOLADO	PTN	NÃO ELEITO	1	2741	Senador
20000000040	288	OLDEMBERG FONSECA PARANHOS	AL	PRTB	CAMINHANDO COM O POVO	PRTB / PPL / PMN	NÃO ELEITO	1	6390	Senador
20000000101	255	OMAR COELHO DE MELLO	AL	DEM	JUNTOS COM O POVO PELA MELHORIA DE ALAGOAS	PPS / PP / PSDC / PRP / PR / PSL / PSB / DEM / SD	NÃO ELEITO	1	137237	Senador
20000000199	144	FERNANDO AFFONSO COLLOR DE MELLO	AL	PTB	COM O POVO PRA ALAGOAS MUDAR	PV / PT do B / PMDB / PROS / PC do B / PSC / PHS / PTB / PSD / PDT / PT	ELEITO	1	689266	Senador
20000000402	369	ELIAS BARROS DIAS	AL	PTC	PARTIDO ISOLADO	PTC	NÃO ELEITO	1	5914	Senador
30000000006	161	PAULO RICARDO OLIVEIRA FARIAS	AP	PSTU	PARTIDO ISOLADO	PSTU	NÃO ELEITO	1	2558	Senador
30000000010	369	PALMIRA DAS NEVES BITTENCOURT	AP	PTC	PARTIDO ISOLADO	PTC	NÃO ELEITO	1	5016	Senador
30000000013	333	RAQUEL CAPIBERIBE DA SILVA	AP	PMN	PARTIDO ISOLADO	PMN	NÃO ELEITO	1	3545	Senador
30000000016	280	MARCO ANTONIO REIS DE ABREU	AP	PRTB	PARTIDO ISOLADO	PRTB	NÃO ELEITO	1	1486	Senador
30000000027	255	DAVID SAMUEL ALCOLUMBRE TOBELEM	AP	DEM	JUNTOS PELO DESENVOLVIMENTO PELA PAZ E PELA VIDA	DEM / PSDB / SD / PSD	ELEITO	1	131695	Senador
30000000113	152	GILVAM PINHEIRO BORGES	AP	PMDB	A FORÇA DO POVO	PP / PDT / PMDB	NÃO ELEITO	1	124438	Senador
30000000364	511	MOISES RIVALDO PEREIRA	AP	PEN	UNIDOS PELO AMAPÁ QUE QUEREMOS	PT do B / PRB / PROS / PR / PEN / PV / PHS / PSDC / PTN	NÃO ELEITO	1	48136	Senador
30000000481	131	DORALICE NASCIMENTO DE SOUZA	AP	PT	FRENTE POPULAR A FAVOR DO AMAPA	PSB / PT / PSOL / PC do B	NÃO ELEITO	1	38919	Senador
30000000484	441	JORVAN TAVARES NASCIMENTO	AP	PRP	PARTIDO ISOLADO	PRP	NÃO ELEITO	1	7443	Senador
40000000007	161	JULIO CEZAR FERRAZ DE SOUZA	AM	PSTU	PARTIDO ISOLADO	PSTU	NÃO ELEITO	1	3029	Senador
40000000074	131	FRANCISCO EDNALDO PRACIANO	AM	PT	RENOVAÇÃO E EXPERIÊNCIA	PMDB / PP / PT / PDT / PTB / PPS / PRB / PSDC / PPL / PC do B	NÃO ELEITO	1	549748	Senador
40000000489	555	OMAR JOSE ABDEL AZIZ	AM	PSD	FAZENDO MAIS POR NOSSA GENTE	PROS / DEM / PSL / PTN / PSC / PR / PRTB / PHS / PTC / PV / PRP / PSDB / PEN / PSD / SD / PT do B	ELEITO	1	933996	Senador
40000000598	400	MARCELO AUGUSTO DA EIRA CORREA	AM	PSB	PARTIDO ISOLADO	PSB	NÃO ELEITO	1	91428	Senador
40000000708	500	MARCOS ANTONIO DE QUEIROZ	AM	PSOL	PARTIDO ISOLADO	PSOL	NÃO ELEITO	1	11234	Senador
40000000866	333	JONATAS ALMEIDA DE OLIVEIRA	AM	PMN	PARTIDO ISOLADO	PMN	NÃO ELEITO	1	6830	Senador
50000000021	500	HAMILTON MOREIRA DE ASSIS	BA	PSOL	PARTIDO ISOLADO	PSOL	NÃO ELEITO	1	54105	Senador
50000000177	400	ELIANA CALMON ALVES	BA	PSB	UM NOVO CAMINHO PARA  A BAHIA	PSB / PSL / PPL	NÃO ELEITO	1	502928	Senador
