source,target,conflict,relation,start,end,source_id,target_id
United States,Brazil,Acre War,-,1899,1903,USA,BRA
Brazil,Bolivia,Acre War,-,1899,1903,BRA,BOL
Democratic Republic of the Congo,Uganda,ADF insurgency,-,1996,Ongoing,COD,UGA
Afghanistan,Pakistan,Afghanistan–Pakistan border skirmish,-,2017,2017,AFG,PAK
Mali,Burkina Faso,Agacher Strip War,-,1985,1985,MLI,BFA
United States,Iran,Al-Qaeda insurgency in Yemen,+,1998,Ongoing,USA,IRN
United States,Saudi Arabia,Al-Qaeda insurgency in Yemen,+,1998,Ongoing,USA,SAU
United States,Morocco,Al-Qaeda insurgency in Yemen,+,1998,Ongoing,USA,MAR
United States,Yemen,Al-Qaeda insurgency in Yemen,-,1998,Ongoing,USA,YEM
United States,Yemen,Al-Qaeda insurgency in Yemen,+,1998,Ongoing,USA,YEM
Morocco,Saudi Arabia,Al-Qaeda insurgency in Yemen,+,1998,Ongoing,MAR,SAU
Morocco,Yemen,Al-Qaeda insurgency in Yemen,-,1998,Ongoing,MAR,YEM
Morocco,Yemen,Al-Qaeda insurgency in Yemen,+,1998,Ongoing,MAR,YEM
Morocco,Iran,Al-Qaeda insurgency in Yemen,+,1998,Ongoing,MAR,IRN
Iran,Saudi Arabia,Al-Qaeda insurgency in Yemen,+,1998,Ongoing,IRN,SAU
Iran,Yemen,Al-Qaeda insurgency in Yemen,-,1998,Ongoing,IRN,YEM
Iran,Yemen,Al-Qaeda insurgency in Yemen,+,1998,Ongoing,IRN,YEM
Saudi Arabia,Yemen,Al-Qaeda insurgency in Yemen,-,1998,Ongoing,SAU,YEM
Saudi Arabia,Yemen,Al-Qaeda insurgency in Yemen,+,1998,Ongoing,SAU,YEM
Yemen,Jordan,Al-Qaeda insurgency in Yemen,-,1998,Ongoing,YEM,JOR
Saudi Arabia,Yemen,Al-Wadiah War,-,1969,1969,SAU,YEM
France,Syria,Alawite Revolt of 1919,-,1919,1920,FRA,SYR
Albania,Italy,Albanian Rebellion of 1997,-,1997,1997,ALB,ITA
Albania,Germany,Albanian Rebellion of 1997,-,1997,1997,ALB,DEU
Albania,Germany,Albanian Rebellion of 1997,+,1997,1997,ALB,DEU
Turkey,Albania,Albanian Revolt of 1843–44,-,1843,1844,TUR,ALB
Turkey,Albania,Albanian Revolt of 1845,-,1845,1845,TUR,ALB
Turkey,Albania,Albanian Revolt of 1847,-,1839,1847,TUR,ALB
Turkey,Albania,Albanian Revolt of 1910,-,1910,1910,TUR,ALB
Turkey,Albania,Albanian Revolt of 1911,-,1911,1911,TUR,ALB
Turkey,Albania,Albanian Revolt of 1912,-,1912,1912,TUR,ALB
Turkey,Albania,Albanian Revolts of 1833–39,-,1833,1839,TUR,ALB
Egypt,United Kingdom,Alexandria expedition of 1807,-,1807,1807,EGY,GBR
Brazil,Paraguay,American occupation of the Dominican Republic (1965–66),+,1965,1966,BRA,PRY
Brazil,Costa Rica,American occupation of the Dominican Republic (1965–66),+,1965,1966,BRA,CRI
Brazil,Dominica,American occupation of the Dominican Republic (1965–66),-,1965,1966,BRA,DOM
Brazil,Honduras,American occupation of the Dominican Republic (1965–66),+,1965,1966,BRA,HND
Brazil,Nicaragua,American occupation of the Dominican Republic (1965–66),+,1965,1966,BRA,NIC
Paraguay,Costa Rica,American occupation of the Dominican Republic (1965–66),+,1965,1966,PRY,CRI
Paraguay,Dominica,American occupation of the Dominican Republic (1965–66),-,1965,1966,PRY,DOM
Paraguay,Honduras,American occupation of the Dominican Republic (1965–66),+,1965,1966,PRY,HND
Paraguay,Nicaragua,American occupation of the Dominican Republic (1965–66),+,1965,1966,PRY,NIC
Honduras,Nicaragua,American occupation of the Dominican Republic (1965–66),+,1965,1966,HND,NIC
Honduras,Costa Rica,American occupation of the Dominican Republic (1965–66),+,1965,1966,HND,CRI
Honduras,Dominica,American occupation of the Dominican Republic (1965–66),-,1965,1966,HND,DOM
Dominica,Costa Rica,American occupation of the Dominican Republic (1965–66),-,1965,1966,DOM,CRI
Dominica,El Salvador,American occupation of the Dominican Republic (1965–66),-,1965,1966,DOM,SLV
Dominica,Nicaragua,American occupation of the Dominican Republic (1965–66),-,1965,1966,DOM,NIC
Nicaragua,Costa Rica,American occupation of the Dominican Republic (1965–66),+,1965,1966,NIC,CRI
India,Italy,Anglo-Iraqi War,-,1941,1941,IND,ITA
India,Germany,Anglo-Iraqi War,-,1941,1941,IND,DEU
India,Iraq,Anglo-Iraqi War,-,1941,1941,IND,IRQ
United Kingdom,Italy,Anglo-Iraqi War,-,1941,1941,GBR,ITA
United Kingdom,Iraq,Anglo-Iraqi War,-,1941,1941,GBR,IRQ
United Kingdom,Germany,Anglo-Iraqi War,-,1941,1941,GBR,DEU
India,Nepal,Anglo-Nepalese War,-,1814,1816,IND,NPL
India,United Kingdom,Anglo-Persian War,+,1856,1857,IND,GBR
Russia,United Kingdom,Anglo-Russian War (1807–12,-,1807,1812,RUS,GBR
Spain,France,Anglo-Spanish War (1654–60),-,1654,1660,ESP,FRA
Turkey,United Kingdom,Anglo-Turkish War (1807–09),-,1807,1809,TUR,GBR
Portugal,United States,Angolan Civil War,-,1975,2002,PRT,USA
Portugal,China,Angolan Civil War,-,1975,2002,PRT,CHN
United States,Germany,Angolan Civil War,-,1975,2002,USA,DEU
United States,Russia,Angolan Civil War,-,1975,2002,USA,RUS
United States,Cuba,Angolan Civil War,-,1975,2002,USA,CUB
United States,Vietnam,Angolan Civil War,-,1975,2002,USA,VNM
China,Russia,Angolan Civil War,-,1975,2002,CHN,RUS
China,Germany,Angolan Civil War,-,1975,2002,CHN,DEU
China,Cuba,Angolan Civil War,-,1975,2002,CHN,CUB
China,Vietnam,Angolan Civil War,-,1975,2002,CHN,VNM
Cuba,Germany,Angolan Civil War,+,1975,2002,CUB,DEU
Cuba,Russia,Angolan Civil War,+,1975,2002,CUB,RUS
Cuba,Vietnam,Angolan Civil War,+,1975,2002,CUB,VNM
Vietnam,Russia,Angolan Civil War,+,1975,2002,VNM,RUS
Vietnam,Germany,Angolan Civil War,+,1975,2002,VNM,DEU
Russia,Germany,Angolan Civil War,+,1975,2002,RUS,DEU
Portugal,India,Annexation of Dadra and Nagar Haveli,-,1954,1954,PRT,IND
