id,country,timeset,continent
BHR,Bahrain,,Asia
MAL,Malta,,Europe
BAR,Barbados,,North America
SAM,Samoa,,Oceania
SLC,Saint Lucia,,North America
TNG,Tonga,,Oceania
GRN,Grenada,,North America
SVG,Saint Vincent and the Grenadines,,North America
SCL,Seychelles,,Africa
ATB,Antigua and Barbuda,,North America
SMA,San Marino,,Europe
AFG,Afghanistan,,Asia
AGO,Angola,,Africa
ALB,Albania,,Europe
ARE,United Arab Emirates,,Asia
ARG,Argentina,,South America
ARM,Armenia,,Asia
AUS,Australia,,Oceania
AUT,Austria,,Europe
AZE,Azerbaijan,,Asia
BDI,Burundi,,Africa
BEL,Belgium,,Europe
BEN,Benin,,Africa
BFA,Burkina Faso,,Africa
BGD,Bangladesh,,Asia
BGR,Bulgaria,,Europe
BIH,Bosnia and Herzegovina,,Europe
BLR,Belarus,,Europe
BOL,Bolivia,,South America
BRA,Brazil,,South America
BTN,Bhutan,,Asia
CAF,Central African Republic,,Africa
CAN,Canada,,North America
CHE,Switzerland,,Europe
CHL,Chile,,South America
CHN,China,,Asia
COM,Comoros,,Africa
CMR,Cameroon,,Africa
COD,Democratic Republic of the Congo,,Africa
COG,Republic of the Congo,,Africa
COL,Colombia,,South America
CRI,Costa Rica,,North America
CUB,Cuba,,North America
CYP,Cyprus,,Asia
CZE,Czech Republic,,Europe
DEU,Germany,,Europe
DJI,Djibouti,,Africa
DNK,Denmark,,Europe
DOM,Dominican Republic,,North America
DZA,Algeria,,Africa
ECU,Ecuador,,South America
EGY,Egypt,,Africa
ERI,Eritrea,,Africa
ESP,Spain,,Europe
EST,Estonia,,Europe
ETH,Ethiopia,,Africa
FIN,Finland,,Europe
FJI,Fiji,,Oceania
FRA,France,,Europe
GBR,United Kingdom,,Europe
GEO,Georgia,,Asia
GHA,Ghana,,Africa
GIN,Guinea,,Africa
GNB,Guinea-Bissau,,Africa
GRC,Greece,,Europe
GTM,Guatemala,,North America
HND,Honduras,,North America
HRV,Croatia,,Europe
HTI,Haiti,,North America
HUN,Hungary,,Europe
IDN,Indonesia,,Asia
IND,India,,Asia
IRL,Republic of Ireland,,Europe
IRN,Iran,,Asia
IRQ,Iraq,,Asia
ISL,Iceland,,Europe
ISR,Israel,,Asia
ITA,Italy,,Europe
JAM,Jamaica,,North America
JOR,Jordan,,Asia
JPN,Japan,,Asia
KAZ,Kazakhstan,,Asia
KEN,Kenya,,Africa
KGZ,Kyrgyzstan,,Asia
KHM,Cambodia,,Asia
KOR,South Korea,,Asia
KWT,Kuwait,,Asia
LAO,Laos,,Asia
LBN,Lebanon,,Asia
LBR,Liberia,,Africa
LBY,Libya,,Africa
LKA,Sri Lanka,,Asia
LTU,Lithuania,,Europe
LUX,Luxembourg,,Europe
LVA,Latvia,,Europe
MAR,Morocco,,Africa
MDA,Moldova,,Europe
MEX,Mexico,,North America
MKD,Macedonia,,Europe
MLI,Mali,,Africa
MMR,Myanmar,,Asia
MNE,Montenegro,,Europe
MNG,Mongolia,,Asia
MOZ,Mozambique,,Africa
MRT,Mauritania,,Africa
MWI,Malawi,,Africa
MYS,Malaysia,,Asia
NAM,Namibia,,Africa
NER,Niger,,Africa
NIC,Nicaragua,,North America
NLD,Kingdom of the Netherlands,,Europe
NOR,Norway,,Europe
NPL,Nepal,,Asia
NZL,New Zealand,,Oceania
OMN,Oman,,Asia
PAK,Pakistan,,Asia
PAN,Panama,,North America
PER,Peru,,South America
PHL,Philippines,,Asia
PNG,Papua New Guinea,,Oceania
POL,Poland,,Europe
PRK,North Korea,,Asia
PRT,Portugal,,Europe
PRY,Paraguay,,South America
QAT,Qatar,,Asia
ROU,Romania,,Europe
RUS,Russia,,Europe
RWA,Rwanda,,Africa
SAU,Saudi Arabia,,Asia
SDN,Sudan,,Africa
SEN,Senegal,,Africa
SGP,Singapore,,Asia
SLE,Sierra Leone,,Africa
SLV,El Salvador,,North America
SOM,Somalia,,Africa
SRB,Serbia,,Europe
SUR,Suriname,,South America
SVK,Slovakia,,Europe
SVN,Slovenia,,Europe
SWE,Sweden,,Europe
SYR,Syria,,Asia
TCD,Chad,,Africa
THA,Thailand,,Asia
TJK,Tajikistan,,Asia
TKM,Turkmenistan,,Asia
TLS,East Timor,,Asia
TUN,Tunisia,,Africa
TUR,Turkey,,Asia
TZA,Tanzania,,Africa
UGA,Uganda,,Africa
UKR,Ukraine,,Europe
URY,Uruguay,,South America
USA,United States,,North America
UZB,Uzbekistan,,Asia
VEN,Venezuela,,South America
VNM,Vietnam,,Asia
VUT,Vanuatu,,Oceania
YEM,Yemen,,Asia
ZMB,Zambia,,Africa
ZWE,Zimbabwe,,Africa
