institution,id
Bournemouth University,1
Centro Universitário FEI,2
"CNRS, França",3
FTEC,4
IBM Research Brazil,5
Instituto Atlântico,6
IPT,7
Instituto Federal de Minas Gerais,8
Massey University,9
"National University of Sciences and Technology, Islamabad, Pakistan.",10
Paul Sabatier University,11
Politecnico di Milan,12
"UP Hauts-de-France, França",13
PSU,14
PUC Minas,15
PUCPR,16
PUC-Rio,17
PUCRS,18
"PUCV, Chile",19
Samsung Research Brazil,20
SmalS-MvM,21
Software Competence Center Hagenberg,22
"Tallinn University, Estonia",23
"TU-Dresden, Alemanha",24
UFAM,25
UFBA,26
UFC,27
UFF,28
UFG,29
UFMA,30
UFMG,31
UFMT,32
UFOP,33
UFPR,34
UFRJ,35
UFRN,36
UFS,37
UFSCAR,38
UFU,39
UNICENTRO,40
UNIFOR,41
UNIOESTE,42
Universidad de Extremadura,43
Universidad de Granada,44
Universidade Federal do Acre,45
University of Alicante,46
University of Brighton,47
University of Ottawa,48
University of Seville,49
"UNLP, Argentina",50
University of Otango,51
UTFPR,52
IFRN, 53
