id_candidate_seq	id_candidate_num	cat_candidate_name	cat_state	cat_party	cat_coalition	cat_composition	cat_eletion_result	num_turn	num_votes	cat_political_office
70000000001	28190	FERNANDO BATISTA FERNANDES	DF	PRTB	UNIÃO E FORÇA DISTRITAL	PRTB / PMN	SUPLENTE	1	12079	Deputado Distrital
70000000002	28044	CLAUDIA NEVES DE SOUZA	DF	PRTB	UNIÃO E FORÇA DISTRITAL	PRTB / PMN	SUPLENTE	1	233	Deputado Distrital
70000000003	28321	OSWALDO JUNQUEIRA VAZ	DF	PRTB	UNIÃO E FORÇA DISTRITAL	PRTB / PMN	SUPLENTE	1	206	Deputado Distrital
70000000004	28999	RITA DE CASSIA SIQUEIRA DIENSTMANN	DF	PRTB	UNIÃO E FORÇA DISTRITAL	PRTB / PMN	SUPLENTE	1	231	Deputado Distrital
70000000005	28800	FRANCISCO ALVES DE OLIVEIRA NETO	DF	PRTB	UNIÃO E FORÇA DISTRITAL	PRTB / PMN	SUPLENTE	1	326	Deputado Distrital
70000000006	28290	IVAN MOREIRA DA SILVA	DF	PRTB	UNIÃO E FORÇA DISTRITAL	PRTB / PMN	SUPLENTE	1	386	Deputado Distrital
70000000007	28218	KATIANNE DA CONCEIÇÃO CHAVES	DF	PRTB	UNIÃO E FORÇA DISTRITAL	PRTB / PMN	SUPLENTE	1	78	Deputado Distrital
70000000008	28018	WILSON PEREIRA DA SILVA	DF	PRTB	UNIÃO E FORÇA DISTRITAL	PRTB / PMN	SUPLENTE	1	623	Deputado Distrital
70000000009	28111	ADÃO FERREIRA ROCHA	DF	PRTB	UNIÃO E FORÇA DISTRITAL	PRTB / PMN	SUPLENTE	1	93	Deputado Distrital
70000000010	28122	MARIA ADÉLIA SOBRAL	DF	PRTB	UNIÃO E FORÇA DISTRITAL	PRTB / PMN	SUPLENTE	1	3009	Deputado Distrital
70000000012	28200	ADILSON OLIVEIRA GOMES	DF	PRTB	UNIÃO E FORÇA DISTRITAL	PRTB / PMN	SUPLENTE	1	191	Deputado Distrital
70000000013	28288	ADOLFO MARQUES DA COSTA	DF	PRTB	UNIÃO E FORÇA DISTRITAL	PRTB / PMN	SUPLENTE	1	963	Deputado Distrital
70000000016	28888	JOSÉ CARVALHO PEREIRA JUNIOR	DF	PRTB	UNIÃO E FORÇA DISTRITAL	PRTB / PMN	SUPLENTE	1	1903	Deputado Distrital
70000000017	28010	LUIZ GONZAGA DE LIRA	DF	PRTB	UNIÃO E FORÇA DISTRITAL	PRTB / PMN	SUPLENTE	1	75	Deputado Distrital
70000000018	28223	MARCOS ARRUDA DA CUNHA REGO	DF	PRTB	UNIÃO E FORÇA DISTRITAL	PRTB / PMN	SUPLENTE	1	403	Deputado Distrital
70000000019	28100	MARCO PAULO DA SILVA NOGUEIRA	DF	PRTB	UNIÃO E FORÇA DISTRITAL	PRTB / PMN	SUPLENTE	1	372	Deputado Distrital
70000000020	28193	MARCUS LUIZ BARBOZA DE CARVALHO	DF	PRTB	UNIÃO E FORÇA DISTRITAL	PRTB / PMN	SUPLENTE	1	333	Deputado Distrital
70000000021	28008	PATRÍCIA HELENA ALMEIDA DE ARAUJO	DF	PRTB	UNIÃO E FORÇA DISTRITAL	PRTB / PMN	SUPLENTE	1	1220	Deputado Distrital
70000000022	28228	RONIVALDO NEVES DE ANDRADE	DF	PRTB	UNIÃO E FORÇA DISTRITAL	PRTB / PMN	SUPLENTE	1	2871	Deputado Distrital
70000000023	28022	SIMONE RIBEIRO NUNES	DF	PRTB	UNIÃO E FORÇA DISTRITAL	PRTB / PMN	SUPLENTE	1	200	Deputado Distrital
70000000024	28229	JADER FIALHO DE ALMEIDA	DF	PRTB	UNIÃO E FORÇA DISTRITAL	PRTB / PMN	SUPLENTE	1	104	Deputado Distrital
70000000026	28777	LUSIMAR TORRES ARRUDA	DF	PRTB	UNIÃO E FORÇA DISTRITAL	PRTB / PMN	SUPLENTE	1	1114	Deputado Distrital
70000000027	28728	ROSANGELA MARQUES CABRAL	DF	PRTB	UNIÃO E FORÇA DISTRITAL	PRTB / PMN	SUPLENTE	1	355	Deputado Distrital
70000000028	28192	NINNONROSE TRANCOSO CORTEZ	DF	PRTB	UNIÃO E FORÇA DISTRITAL	PRTB / PMN	SUPLENTE	1	126	Deputado Distrital
70000000029	28128	ALAN JOSÉ VALIM MAIA	DF	PRTB	UNIÃO E FORÇA DISTRITAL	PRTB / PMN	SUPLENTE	1	3653	Deputado Distrital
70000000030	28225	AMILTON MARTINS DE MELO	DF	PRTB	UNIÃO E FORÇA DISTRITAL	PRTB / PMN	SUPLENTE	1	116	Deputado Distrital
70000000031	28233	ANTONIO PEREIRA DA CRUZ	DF	PRTB	UNIÃO E FORÇA DISTRITAL	PRTB / PMN	SUPLENTE	1	1173	Deputado Distrital
70000000032	28012	CARLOS BIANCHINI PONTES	DF	PRTB	UNIÃO E FORÇA DISTRITAL	PRTB / PMN	SUPLENTE	1	1491	Deputado Distrital
70000000034	28234	EDSON ROSA DE SOUZA	DF	PRTB	UNIÃO E FORÇA DISTRITAL	PRTB / PMN	SUPLENTE	1	1263	Deputado Distrital
