id_candidate_seq	id_candidate_num	cat_candidate_name	cat_state	cat_party	cat_coalition	cat_composition	cat_eletion_result	num_turn	num_votes	cat_political_office
10000000021	12123	HENRY ANTONIO SILVA NOGUEIRA	AC	PDT	PARTIDO ISOLADO	PDT	SUPLENTE	1	2605	Deputado Estadual
10000000022	12012	ZENILDO VIEIRA DA SILVA	AC	PDT	PARTIDO ISOLADO	PDT	NÃO ELEITO	1	0	Deputado Estadual
10000000023	12570	JOSÉ ALVES DA SILVA	AC	PDT	PARTIDO ISOLADO	PDT	SUPLENTE	1	47	Deputado Estadual
10000000024	12456	MARCOS GLAY RIBEIRO DE SOUZA	AC	PDT	PARTIDO ISOLADO	PDT	SUPLENTE	1	172	Deputado Estadual
10000000025	12111	JOSÉ ALTANIZIO TAUMATURGO SÁ	AC	PDT	PARTIDO ISOLADO	PDT	SUPLENTE	1	2196	Deputado Estadual
10000000026	12147	AURELIANO ALVES RABELO	AC	PDT	PARTIDO ISOLADO	PDT	SUPLENTE	1	486	Deputado Estadual
10000000027	12580	JOSE AUGUSTO PINHEIRO DA SILVEIRA	AC	PDT	PARTIDO ISOLADO	PDT	SUPLENTE	1	1454	Deputado Estadual
10000000028	12777	GILBERTO CABRAL DE MOURA	AC	PDT	PARTIDO ISOLADO	PDT	SUPLENTE	1	1563	Deputado Estadual
10000000031	12000	MAURICIO DE OLIVEIRA ARAUJO	AC	PDT	PARTIDO ISOLADO	PDT	SUPLENTE	1	1586	Deputado Estadual
10000000032	12312	MARIA DAS DORES TAVARES DE SOUZA	AC	PDT	PARTIDO ISOLADO	PDT	SUPLENTE	1	75	Deputado Estadual
10000000033	12789	EDVALDO ALMEIDA DE OLIVEIRA	AC	PDT	PARTIDO ISOLADO	PDT	SUPLENTE	1	2448	Deputado Estadual
10000000034	12080	ADALBERTO FELISMINO DE SOUZA	AC	PDT	PARTIDO ISOLADO	PDT	SUPLENTE	1	74	Deputado Estadual
10000000035	12333	RAIMUNDO NONATO DE OLIVEIRA	AC	PDT	PARTIDO ISOLADO	PDT	SUPLENTE	1	551	Deputado Estadual
10000000036	12300	HEITOR ANDRADE DE MACEDO FILHO	AC	PDT	PARTIDO ISOLADO	PDT	ELEITO POR MÉDIA	1	2683	Deputado Estadual
10000000037	12987	SEBASTIÃO DOS SANTOS OLIVEIRA	AC	PDT	PARTIDO ISOLADO	PDT	SUPLENTE	1	178	Deputado Estadual
10000000040	12345	JÓ PAULINO DE FREITAS	AC	PDT	PARTIDO ISOLADO	PDT	SUPLENTE	1	784	Deputado Estadual
10000000042	12144	JANIO MARIO PEREIRA SANTOS	AC	PDT	PARTIDO ISOLADO	PDT	SUPLENTE	1	693	Deputado Estadual
10000000043	12555	ELIZEU MESQUITA DA SILVA	AC	PDT	PARTIDO ISOLADO	PDT	SUPLENTE	1	2030	Deputado Estadual
10000000044	12999	EURICO CARVALHO CORDEIRO	AC	PDT	PARTIDO ISOLADO	PDT	SUPLENTE	1	1360	Deputado Estadual
10000000045	12121	NAYRA CLAUDINNE GUEDES MENEZES COLOMBO	AC	PDT	PARTIDO ISOLADO	PDT	SUPLENTE	1	223	Deputado Estadual
10000000047	12344	JECSON CAVALCANTE DUTRA	AC	PDT	PARTIDO ISOLADO	PDT	SUPLENTE	1	1960	Deputado Estadual
10000000048	12013	ONEDIA MARIA OLIVEIRA MELO	AC	PDT	PARTIDO ISOLADO	PDT	SUPLENTE	1	33	Deputado Estadual
10000000049	12444	HELENO DE FARIAS DA FRANÇA	AC	PDT	PARTIDO ISOLADO	PDT	SUPLENTE	1	178	Deputado Estadual
10000000050	12193	CARLOS ALBERTO DE FRANÇA NOLASCO	AC	PDT	PARTIDO ISOLADO	PDT	SUPLENTE	1	199	Deputado Estadual
10000000052	12366	JAIRO CASSIANO BARBOSA	AC	PDT	PARTIDO ISOLADO	PDT	SUPLENTE	1	1295	Deputado Estadual
10000000053	12222	JESUS SERGIO DE MENEZES	AC	PDT	PARTIDO ISOLADO	PDT	ELEITO POR QP	1	3483	Deputado Estadual
10000000054	12888	FRANCISCO BRIGIDO DA COSTA	AC	PDT	PARTIDO ISOLADO	PDT	SUPLENTE	1	1220	Deputado Estadual
10000000055	12221	MARIA APARECIDA ALVES DE SOUZA	AC	PDT	PARTIDO ISOLADO	PDT	SUPLENTE	1	76	Deputado Estadual
10000000057	55131	JOÃO DIAS DE MELO	AC	PSD	PARTIDO ISOLADO	PSD	SUPLENTE	1	396	Deputado Estadual
10000000058	55123	JAIME LIMA DA COSTA	AC	PSD	PARTIDO ISOLADO	PSD	SUPLENTE	1	2525	Deputado Estadual
10000000059	55555	JOSÉ CLAUDINEI RABELO MARTINS	AC	PSD	PARTIDO ISOLADO	PSD	SUPLENTE	1	2266	Deputado Estadual
10000000060	55333	ANTONIO SÉRGIO BAQUER DE BARROS	AC	PSD	PARTIDO ISOLADO	PSD	SUPLENTE	1	1093	Deputado Estadual
10000000061	55441	PEDRO OLIVEIRA DA SILVA	AC	PSD	PARTIDO ISOLADO	PSD	SUPLENTE	1	66	Deputado Estadual
10000000062	55999	JAFFESSON RODRIGUES DE FREITAS	AC	PSD	PARTIDO ISOLADO	PSD	SUPLENTE	1	58	Deputado Estadual
10000000064	55000	JOSÉ MARIA DE FREITAS MOREIRA	AC	PSD	PARTIDO ISOLADO	PSD	SUPLENTE	1	1234	Deputado Estadual
10000000065	55777	MARIA JOSÉ BATISTA DE LIMA	AC	PSD	PARTIDO ISOLADO	PSD	SUPLENTE	1	388	Deputado Estadual
10000000066	55456	JARIS DE SOUZA CARVALHO	AC	PSD	PARTIDO ISOLADO	PSD	ELEITO POR QP	1	3134	Deputado Estadual
10000000067	55100	JOSÉ PINHEIRO DE ALENCAR	AC	PSD	PARTIDO ISOLADO	PSD	SUPLENTE	1	328	Deputado Estadual
10000000068	55222	JOSÉ FERREIRA DO NASCIMENTO FILHO	AC	PSD	PARTIDO ISOLADO	PSD	SUPLENTE	1	646	Deputado Estadual
10000000069	55144	LUIZ GONZAGA CALIXTO NETO	AC	PSD	PARTIDO ISOLADO	PSD	SUPLENTE	1	867	Deputado Estadual
10000000070	55678	MARIA ALDENORA CAMBESSA SILVA	AC	PSD	PARTIDO ISOLADO	PSD	SUPLENTE	1	1424	Deputado Estadual
10000000071	55575	UZIR SANTOS DE LIMA	AC	PSD	PARTIDO ISOLADO	PSD	SUPLENTE	1	27	Deputado Estadual
10000000072	55789	REGINALDO DA SILVA CORDEIRO	AC	PSD	PARTIDO ISOLADO	PSD	SUPLENTE	1	419	Deputado Estadual
10000000073	55800	FRANCISCO ROQUE DA COSTA	AC	PSD	PARTIDO ISOLADO	PSD	SUPLENTE	1	1166	Deputado Estadual
10000000074	55344	JOAQUIM JOSÉ DE CASTRO	AC	PSD	PARTIDO ISOLADO	PSD	SUPLENTE	1	0	Deputado Estadual
10000000075	55111	MARILETE VITORINO DE SIQUEIRA	AC	PSD	PARTIDO ISOLADO	PSD	SUPLENTE	1	1346	Deputado Estadual
10000000076	55669	LUELI FIESCA FERREIRA	AC	PSD	PARTIDO ISOLADO	PSD	SUPLENTE	1	4	Deputado Estadual
10000000077	55668	LUCIANA PATRÍCIA FREITAS DE LUCENA	AC	PSD	PARTIDO ISOLADO	PSD	SUPLENTE	1	1	Deputado Estadual
10000000078	55670	SILVONETE DE LIMA GALVÃO	AC	PSD	PARTIDO ISOLADO	PSD	SUPLENTE	1	7	Deputado Estadual
10000000079	55671	MARIA CISLENE RIBEIRO DA COSTA	AC	PSD	PARTIDO ISOLADO	PSD	SUPLENTE	1	52	Deputado Estadual
10000000080	55672	ELIETE LIMA DE OLIVEIRA	AC	PSD	PARTIDO ISOLADO	PSD	SUPLENTE	1	1	Deputado Estadual
10000000081	55444	FRANCISCO DE ASSIS BATISTA DE SOUZA	AC	PSD	PARTIDO ISOLADO	PSD	SUPLENTE	1	452	Deputado Estadual
10000000082	55666	ALÉRCIO DIAS	AC	PSD	PARTIDO ISOLADO	PSD	NÃO ELEITO	1	0	Deputado Estadual
10000000083	44000	ERICK GIL DE PAULA	AC	PRP	PARTIDO ISOLADO	PRP	SUPLENTE	1	378	Deputado Estadual
10000000084	44444	LEONCIO TEMOTEO DE CASTRO	AC	PRP	PARTIDO ISOLADO	PRP	SUPLENTE	1	2287	Deputado Estadual
10000000085	44111	TELMA MARIA SOUZA CHAVES	AC	PRP	PARTIDO ISOLADO	PRP	SUPLENTE	1	3105	Deputado Estadual
10000000086	44190	VERISSIMO DA COSTA ANTROBOS	AC	PRP	PARTIDO ISOLADO	PRP	SUPLENTE	1	333	Deputado Estadual
10000000087	44400	TANIA MARIA SILVA OLIVEIRA	AC	PRP	PARTIDO ISOLADO	PRP	SUPLENTE	1	30	Deputado Estadual
10000000088	44525	VALDEMILSON MOURA BASTOS	AC	PRP	PARTIDO ISOLADO	PRP	SUPLENTE	1	570	Deputado Estadual
10000000089	44567	CICERO FERREIRA DIAS	AC	PRP	PARTIDO ISOLADO	PRP	SUPLENTE	1	396	Deputado Estadual
10000000090	44044	PABLO ROMERO OLIMPIO QUEIROZ	AC	PRP	PARTIDO ISOLADO	PRP	SUPLENTE	1	287	Deputado Estadual
10000000092	44778	RODRIGO DA CRUZ BEYRUTH BORGES	AC	PRP	PARTIDO ISOLADO	PRP	SUPLENTE	1	2421	Deputado Estadual
10000000093	44789	MARCUS VINICIUS DO VALE ANUTE	AC	PRP	PARTIDO ISOLADO	PRP	SUPLENTE	1	2228	Deputado Estadual
10000000094	44123	ANTONIO BRAGA BANDEIRA	AC	PRP	PARTIDO ISOLADO	PRP	SUPLENTE	1	2213	Deputado Estadual
10000000095	44456	ORLANDO DA COSTA  MENDES	AC	PRP	PARTIDO ISOLADO	PRP	SUPLENTE	1	192	Deputado Estadual
10000000096	44234	ROSE LANE ALVES JARDIM	AC	PRP	PARTIDO ISOLADO	PRP	SUPLENTE	1	506	Deputado Estadual
10000000097	44445	FRANCISCO SOTERO DOS SANTOS	AC	PRP	PARTIDO ISOLADO	PRP	SUPLENTE	1	711	Deputado Estadual
10000000098	44322	MAURO AFONSO DIAS MARQUES	AC	PRP	PARTIDO ISOLADO	PRP	SUPLENTE	1	19	Deputado Estadual
10000000100	44012	RUBENSLEI RODRIGUES DE LIMA	AC	PRP	PARTIDO ISOLADO	PRP	SUPLENTE	1	630	Deputado Estadual
10000000102	44666	MAGID KASSEN MASTUB NETO	AC	PRP	PARTIDO ISOLADO	PRP	SUPLENTE	1	723	Deputado Estadual
10000000103	44888	MARIA RIZELDA CUNHA DE FREITAS	AC	PRP	PARTIDO ISOLADO	PRP	SUPLENTE	1	57	Deputado Estadual
10000000104	44344	NAZARE GONÇALVES PEIXOTO	AC	PRP	PARTIDO ISOLADO	PRP	SUPLENTE	1	18	Deputado Estadual
10000000105	44333	RAIMUNDO COSTA DA SILVA	AC	PRP	PARTIDO ISOLADO	PRP	SUPLENTE	1	28	Deputado Estadual
10000000106	44999	MARCOS AURELIO DANTAS DE SOUZA	AC	PRP	PARTIDO ISOLADO	PRP	SUPLENTE	1	253	Deputado Estadual
10000000107	44521	FRANCILENE GOMES DA COSTA	AC	PRP	PARTIDO ISOLADO	PRP	SUPLENTE	1	78	Deputado Estadual
10000000108	44454	MARCELO FONTINELE FERREIRA	AC	PRP	PARTIDO ISOLADO	PRP	SUPLENTE	1	123	Deputado Estadual
10000000110	44050	MARIA DE LOURDES SILVA DE ALMEIDA	AC	PRP	PARTIDO ISOLADO	PRP	SUPLENTE	1	67	Deputado Estadual
10000000111	44500	AGNUS AGACIS DE LIMA	AC	PRP	PARTIDO ISOLADO	PRP	SUPLENTE	1	21	Deputado Estadual
10000000112	44777	ANDRE ROBERTO ROGERIO VALE DOS SANTOS	AC	PRP	PARTIDO ISOLADO	PRP	ELEITO POR QP	1	3733	Deputado Estadual
10000000113	44010	THIAGO AUGUSTO GASPAR DE OLIVEIRA BEZERRA	AC	PRP	PARTIDO ISOLADO	PRP	SUPLENTE	1	40	Deputado Estadual
10000000114	44345	JOSE TARCISIO MEDEIROS DE MORAES	AC	PRP	PARTIDO ISOLADO	PRP	SUPLENTE	1	2863	Deputado Estadual
10000000115	44555	ALDAYSA SAMPAIO DOS SANTOS	AC	PRP	PARTIDO ISOLADO	PRP	SUPLENTE	1	103	Deputado Estadual
10000000116	44258	ROSILENE BEZERRA DO NASCIMENTO	AC	PRP	PARTIDO ISOLADO	PRP	SUPLENTE	1	56	Deputado Estadual
10000000117	44396	BERENICE NASCIMENTO DE SOUZA	AC	PRP	PARTIDO ISOLADO	PRP	SUPLENTE	1	55	Deputado Estadual
10000000119	65322	MARIA IRIA MATOS BANDEIRA	AC	PC do B	FRENTE POPULAR DO ACRE VI	PC do B / PTB	SUPLENTE	1	1622	Deputado Estadual
10000000120	65013	FRANCISCO EDUARDO SARAIVA DE FARIAS	AC	PC do B	FRENTE POPULAR DO ACRE VI	PC do B / PTB	SUPLENTE	1	3513	Deputado Estadual
10000000121	65789	JANILSON LOPES LEITE	AC	PC do B	FRENTE POPULAR DO ACRE VI	PC do B / PTB	ELEITO POR QP	1	4439	Deputado Estadual
10000000122	65456	JAIR RIBEIRO DOS SANTOS	AC	PC do B	FRENTE POPULAR DO ACRE VI	PC do B / PTB	SUPLENTE	1	1655	Deputado Estadual
