Source,Target,Type,Id,Label,timeset,Weight,1,2,3,5,6
Lithuania,Iran,Undirected,168,,,1,-,"2002  ","Ongoing  ","Taliban insurgency Part of the War in Afghanistan (2001–2014), War in Afghanistan (1978–present), War in Afghanistan (2015–present) and War on Terrorism  ",0
Lithuania,Pakistan,Undirected,167,,,1,-,"2002  ","Ongoing  ","Taliban insurgency Part of the War in Afghanistan (2001–2014), War in Afghanistan (1978–present), War in Afghanistan (2015–present) and War on Terrorism  ",0
Lithuania,Japan,Undirected,58,,,1,-,"1917  ","1922  ","Russian Civil War  ",0
Lithuania,China,Undirected,45,,,1,-,"1917  ","1922  ","Russian Civil War  ",0
Lithuania,Serbia,Undirected,40,,,2,-,"1917  ","1922  ","Russian Civil War  ",1
Lithuania,Ottoman Empire,Undirected,20,,,9,-,"1917  ","1922  ","Russian Civil War  ",8
Lithuania,Russia,Undirected,10,,,10,-,"1919  ","1919  ","Lithuanian War of Independence (War against the Bermontians)Part of the Lithuanian Wars of Independence  ",9
Lithuania,Lithuania,Undirected,0,,,3,-,"1918  ","1919  ","Lithuanian–Soviet WarPart of the Lithuanian Wars of Independence  ",2
Denmark,Libya,Undirected,459,,,1,-,"2011  ","2011  ","Libyan Civil War (2011)  ",0
Denmark,Pakistan,Undirected,454,,,2,-,"2002  ","Ongoing  ","Taliban insurgency Part of the War in Afghanistan (2001–2014), War in Afghanistan (1978–present), War in Afghanistan (2015–present) and War on Terrorism  ",1
Denmark,Yemen,Undirected,446,,,1,-,"2002  ","Ongoing  ","Operation Enduring Freedom – Horn of Africa  ",0
Denmark,North Korea,Undirected,388,,,1,-,"1950  ","1953  ","Korean War  Part of the Korean conflict  ",0
Denmark,Iran,Undirected,363,,,2,-,"2002  ","Ongoing  ","Taliban insurgency Part of the War in Afghanistan (2001–2014), War in Afghanistan (1978–present), War in Afghanistan (2015–present) and War on Terrorism  ",1
Denmark,Soviet Union,Undirected,334,,,2,-,"1950  ","1953  ","Korean War  Part of the Korean conflict  ",1
Denmark,Iraq,Undirected,280,,,3,-,"2003  ","2011  ","Iraq War  ",2
Denmark,Algeria,Undirected,220,,,1,-,"1769  ","1772  ","Danish-Algerian War  ",0
