Len, Countries
49,;United States;Canada;France;Australia;New Zealand;Belgium;Denmark;Turkey;Luxembourg;Norway;Albania;El Salvador;Poland;Bulgaria;Italy;Jordan;United Kingdom;Latvia;Romania;Portugal;Ukraine;Tonga;Hungary;Austria;Mongolia;India;Georgia;Estonia;Lithuania;Malaysia;Finland;United Arab Emirates;Slovakia;Iceland;Czech Republic;Greece;Montenegro;Germany;Switzerland;Afghanistan;Croatia;Slovenia;Bahrain;Singapore;Sweden;South Korea;Spain;Bosnia and Herzegovina;Armenia
49,;United States;Canada;France;Australia;New Zealand;Belgium;Denmark;Turkey;Luxembourg;Norway;Albania;El Salvador;Poland;Bulgaria;Italy;Jordan;United Kingdom;Latvia;Romania;Portugal;Ukraine;Tonga;Hungary;Austria;Mongolia;India;Georgia;Estonia;Lithuania;Malaysia;Finland;United Arab Emirates;Slovakia;Iceland;Czech Republic;Greece;Montenegro;Germany;Switzerland;Afghanistan;Croatia;Slovenia;Bahrain;Singapore;Sweden;South Korea;Spain;Bosnia and Herzegovina;Azerbaijan
34,;United States;Canada;France;Australia;New Zealand;Belgium;Denmark;Turkey;Kyrgyzstan;Portugal;Ukraine;Sudan;Turkmenistan;Italy;Azerbaijan;Indonesia;Spain;Uganda;South Korea;Tajikistan;Somalia;Greece;Germany;Singapore;Thailand;Seychelles;United Kingdom;Ethiopia;Kenya;India;Japan;Malaysia;Djibouti;Kazakhstan
32,;United States;Canada;France;Australia;New Zealand;Belgium;Denmark;Turkey;Luxembourg;Norway;Albania;El Salvador;Colombia;Philippines;Ethiopia;Syria;Saudi Arabia;British Empire;Mexico;Brazil;Guatemala;Costa Rica;Venezuela;Lebanon;Haiti;Uruguay;Nicaragua;Kingdom of Italy;Argentina;Paraguay;Bolivia;Peru
32,;United States;Canada;France;Australia;New Zealand;Belgium;Denmark;Turkey;Luxembourg;Norway;Albania;El Salvador;Colombia;Philippines;Ethiopia;Syria;Saudi Arabia;British Empire;Mexico;Brazil;Guatemala;Costa Rica;Venezuela;Lebanon;Haiti;Uruguay;Nicaragua;Kingdom of Italy;Argentina;Paraguay;Bolivia;Ecuador
32,;United States;Canada;France;Australia;New Zealand;Belgium;Denmark;Turkey;Luxembourg;Norway;Albania;Honduras;Syria;Kingdom of Italy;Argentina;Paraguay;Bolivia;Mexico;Brazil;Guatemala;Costa Rica;Venezuela;Saudi Arabia;Lebanon;Uruguay;Haiti;Nicaragua;British Empire;Peru;Colombia;Philippines;Ethiopia
32,;United States;Canada;France;Australia;New Zealand;Belgium;Denmark;Turkey;Luxembourg;Norway;Albania;Honduras;Syria;Kingdom of Italy;Argentina;Paraguay;Bolivia;Mexico;Brazil;Guatemala;Costa Rica;Venezuela;Saudi Arabia;Lebanon;Uruguay;Haiti;Nicaragua;British Empire;Ecuador;Colombia;Philippines;Ethiopia
32,;Russia;Portugal;Australia;Italy;India;Denmark;Turkey;Malaysia;Belgium;Greece;Germany;New Zealand;Singapore;South Korea;Canada;United Kingdom;Azerbaijan;Spain;Kyrgyzstan;Tajikistan;Uganda;Somalia;Sudan;Kazakhstan;Thailand;Seychelles;Indonesia;Ethiopia;Japan;Djibouti;Turkmenistan;Kenya
32,;Panama;Kingdom of Italy;Argentina;Paraguay;Bolivia;Uruguay;Venezuela;Mexico;Brazil;Guatemala;Costa Rica;Lebanon;Nicaragua;Haiti;British Empire;Syria;Saudi Arabia;Canada;Peru;Australia;Denmark;Turkey;New Zealand;Luxembourg;Albania;Norway;El Salvador;France;Belgium;Colombia;Philippines;Ethiopia
32,;Panama;Kingdom of Italy;Argentina;Paraguay;Bolivia;Uruguay;Venezuela;Mexico;Brazil;Guatemala;Costa Rica;Lebanon;Nicaragua;Haiti;British Empire;Syria;Saudi Arabia;Canada;Peru;Australia;Denmark;Turkey;New Zealand;Luxembourg;Albania;Norway;Honduras;France;Belgium;Colombia;Philippines;Ethiopia
32,;Panama;Kingdom of Italy;Argentina;Paraguay;Bolivia;Uruguay;Venezuela;Mexico;Brazil;Guatemala;Costa Rica;Lebanon;Nicaragua;Haiti;British Empire;Syria;Saudi Arabia;Canada;Ecuador;Australia;Denmark;Turkey;New Zealand;Luxembourg;Albania;Norway;El Salvador;France;Belgium;Colombia;Philippines;Ethiopia
