Len, Countries
4,;Liberia;Cuba;Nazi Germany;Finland
4,;Liberia;Cuba;Nazi Germany;Belgium
4,;Liberia;Cuba;Thailand;Hungary
4,;Liberia;Cuba;Empire of Japan;Belgium
4,;Empire of Japan;Dominican Republic;El Salvador;Honduras
4,;Empire of Japan;Iran;Iraq;Poland
4,;Empire of Japan;Iran;Iraq;Australia
4,;Empire of Japan;Iran;Iraq;Denmark
4,;Ethiopia;Soviet Union;Finland;Nazi Germany
4,;Peru;Ecuador;Finland;Nazi Germany
4,;Peru;Ecuador;Thailand;Hungary
4,;Thailand;El Salvador;Honduras;Dominican Republic
4,;Thailand;Poland;Iran;Iraq
4,;Thailand;Hungary;Egypt;Iraq
4,;Thailand;Hungary;Iran;Iraq
4,;Thailand;Hungary;Syria;Iraq
4,;Thailand;Hungary;Dominican Republic;Brazil
4,;Thailand;Hungary;Dominican Republic;Costa Rica
4,;Thailand;Hungary;Dominican Republic;Honduras
4,;Thailand;Hungary;Dominican Republic;Nicaragua
4,;Thailand;Hungary;Dominican Republic;Paraguay
4,;Thailand;Hungary;Saudi Arabia;Iraq
4,;Thailand;Hungary;Chile;Kingdom of Italy
4,;Nicaragua;Dominican Republic;Finland;Nazi Germany
4,;Dominican Republic;Nazi Germany;Finland;Costa Rica
4,;Dominican Republic;Nazi Germany;Finland;Brazil
4,;Dominican Republic;Nazi Germany;Finland;Honduras
4,;Dominican Republic;Nazi Germany;Finland;Paraguay
4,;Dominican Republic;Nazi Germany;El Salvador;Honduras
4,;Philippines;Nazi Germany;Finland;Egypt
4,;Philippines;Nazi Germany;Finland;Soviet Union
4,;Kingdom of Italy;Chile;Finland;Nazi Germany
4,;Kingdom of Italy;United Kingdom;Nazi Germany;Soviet Union
4,;Kingdom of Italy;Soviet Union;Finland;Nazi Germany
4,;Soviet Union;Nazi Germany;Colombia;Finland
4,;Pakistan;Iran;Armenia;Azerbaijan
4,;Pakistan;Iran;Iraq;Finland
4,;Pakistan;Iran;Iraq;Slovakia
4,;Pakistan;Iran;Iraq;Georgia
4,;Pakistan;Iran;Iraq;Italy
4,;Pakistan;Iran;Iraq;Ukraine
4,;Pakistan;Iran;Iraq;Denmark
4,;Pakistan;Iran;Iraq;Poland
4,;Pakistan;Iran;Iraq;Hungary
4,;Pakistan;Iran;Iraq;Australia
4,;Pakistan;Iran;Iraq;South Korea
4,;Pakistan;Iran;Iraq;Spain
4,;Syria;Iraq;Finland;Nazi Germany
4,;Nazi Germany;Iran;Iraq;Finland
4,;Nazi Germany;Iran;Iraq;Poland
4,;Nazi Germany;Iran;Iraq;Australia
4,;Nazi Germany;Iran;Iraq;Denmark
4,;Nazi Germany;Saudi Arabia;Finland;Iraq
4,;Nazi Germany;Egypt;Iraq;Finland
3,;Liberia;United Kingdom;Nazi Germany
3,;Liberia;Cuba;Slovakia
3,;Liberia;France;Nazi Germany
3,;Liberia;France;Empire of Japan
3,;Empire of Japan;Syria;Iraq
3,;Empire of Japan;Dominican Republic;Brazil
3,;Empire of Japan;Dominican Republic;Costa Rica
3,;Empire of Japan;Dominican Republic;United States
3,;Empire of Japan;Dominican Republic;Nicaragua
3,;Empire of Japan;Dominican Republic;Paraguay
3,;Empire of Japan;United States;Iraq
3,;Empire of Japan;United States;Cuba
3,;Empire of Japan;United States;Panama
3,;Empire of Japan;United States;Soviet Union
3,;Empire of Japan;Philippines;Poland
3,;Empire of Japan;Philippines;Soviet Union
3,;Empire of Japan;Philippines;Egypt
3,;Empire of Japan;Philippines;Bulgaria
3,;Empire of Japan;Ecuador;Peru
3,;Empire of Japan;Kingdom of Italy;Chile
3,;Empire of Japan;Kingdom of Italy;Soviet Union
3,;Empire of Japan;Cuba;Canada
3,;Empire of Japan;Colombia;Soviet Union
3,;Empire of Japan;Colombia;Poland
3,;Empire of Japan;Colombia;Bulgaria
3,;Empire of Japan;Soviet Union;Norway
3,;Empire of Japan;Soviet Union;Denmark
3,;Empire of Japan;Soviet Union;New Zealand
3,;Empire of Japan;Soviet Union;Ethiopia
3,;Empire of Japan;Soviet Union;Australia
3,;Empire of Japan;Soviet Union;Turkey
3,;Empire of Japan;Soviet Union;Luxembourg
3,;Empire of Japan;Ethiopia;Poland
3,;Empire of Japan;Ethiopia;Bulgaria
3,;Empire of Japan;Egypt;Norway
3,;Empire of Japan;Egypt;Iraq
3,;Empire of Japan;Saudi Arabia;Iraq
3,;Empire of Japan;Chile;Bulgaria
3,;Empire of Japan;Iran;Norway
3,;Empire of Japan;Iran;El Salvador
3,;Empire of Japan;Iran;Mongolia
3,;Empire of Japan;Iran;Luxembourg
3,;Empire of Japan;Iran;New Zealand
3,;Empire of Japan;Iran;Turkey
3,;Empire of Japan;Iran;Albania
3,;Empire of Japan;Iran;Belgium
3,;Empire of Japan;Iran;Bulgaria
3,;Empire of Japan;Canada;Iraq
3,;Empire of Japan;France;Iraq
3,;Bolivia;Finland;Nazi Germany
3,;Bolivia;Thailand;Hungary
3,;Russia;Ottoman Empire;United States
3,;Russia;Ottoman Empire;Sweden
3,;Uruguay;Finland;Nazi Germany
3,;Uruguay;Hungary;Thailand
3,;Ethiopia;Soviet Union;Slovakia
3,;Ethiopia;Soviet Union;Romania
3,;Ethiopia;Poland;Nazi Germany
3,;Ethiopia;Bulgaria;Nazi Germany
3,;Russian Empire;Ottoman Empire;Egypt
3,;Russian Empire;Ottoman Empire;Spain
3,;Russian Empire;Ottoman Empire;Austria
3,;Russian Empire;Hungary;Egypt
3,;Peru;Ecuador;Slovakia
3,;Peru;Ecuador;Spain
3,;Tunisia;Cuba;Israel
3,;Tunisia;Cuba;Belgium
3,;Ottoman Empire;Brazil;Portugal
3,;Ottoman Empire;British Empire;Spain
3,;Thailand;Cambodia;Soviet Union
3,;Thailand;Romania;Iran
3,;Thailand;Romania;Soviet Union
3,;Thailand;Soviet Union;Kingdom of Italy
3,;Thailand;El Salvador;Iran
3,;Thailand;Hungary;Mexico
3,;Thailand;Hungary;Guatemala
3,;Thailand;Hungary;Venezuela
3,;Thailand;Hungary;Panama
3,;Thailand;Hungary;Lebanon
3,;Thailand;Hungary;Haiti
3,;Thailand;Hungary;British Empire
3,;Thailand;Hungary;Argentina
