SourceID,TargetID,relation,year_start,year_end
Sweden,Denmark,-,1501,1512
Sweden,Denmark,-,1521,1523
Sweden,Denmark,-,1666,1666
Sweden,Denmark,+,2001,Ongoing
Sweden,Denmark,+,2002,Ongoing
Sweden,Norway,-,1501,1512
Sweden,Norway,-,1814,1814
Sweden,Norway,+,2001,Ongoing
Sweden,Norway,+,2002,Ongoing
Sweden,Spain,-,1672,1678
Sweden,Spain,-,1803,1806
Sweden,Spain,-,1806,1807
Sweden,Spain,+,2001,Ongoing
Sweden,Spain,+,2001,Ongoing
Sweden,Spain,+,2002,Ongoing
Sweden,Spain,+,2002,Ongoing
Sweden,France,-,1688,1697
Sweden,France,-,1803,1806
Sweden,France,-,1806,1807
Sweden,France,-,1808,1809
Sweden,France,-,1960,1965
Sweden,France,+,2001,Ongoing
Sweden,France,+,2002,Ongoing
Sweden,Russia,-,1740,1748
Sweden,Russia,-,1788,1790
Sweden,Russian Empire,-,1741,1743
Sweden,Russian Empire,-,1808,1809
Sweden,Russian Empire,+,1812,1814
Sweden,Russian Empire,+,1815,1815
Sweden,Portugal,-,1756,1763
Sweden,Portugal,+,2001,Ongoing
Sweden,Portugal,+,2002,Ongoing
Sweden,Ottoman Empire,-,1801,1805
Sweden,Italy,-,1803,1806
Sweden,Italy,-,1806,1807
Sweden,Italy,+,2001,Ongoing
Sweden,Italy,+,2001,Ongoing
Sweden,Italy,+,2002,Ongoing
Sweden,Italy,+,2002,Ongoing
Sweden,Kingdom of Italy,-,1812,1814
Sweden,United Kingdom,+,1815,1815
Sweden,United Kingdom,+,2001,Ongoing
Sweden,United Kingdom,+,2001,Ongoing
Sweden,United Kingdom,+,2002,Ongoing
Sweden,United Kingdom,+,2002,Ongoing
Sweden,North Korea,-,1950,1953
Sweden,Soviet Union,-,1950,1953
Sweden,Soviet Union,-,1960,1965
Sweden,Soviet Union,+,1960,1965
Sweden,Bulgaria,-,1950,1953
Sweden,Bulgaria,+,2001,Ongoing
Sweden,Bulgaria,+,2002,Ongoing
Sweden,Hungary,-,1950,1953
Sweden,Hungary,+,2001,Ongoing
Sweden,Hungary,+,2002,Ongoing
Sweden,Poland,-,1950,1953
Sweden,Poland,+,2001,Ongoing
Sweden,Poland,+,2002,Ongoing
Sweden,Romania,-,1950,1953
Sweden,Romania,+,2001,Ongoing
Sweden,Romania,+,2001,Ongoing
Sweden,Romania,+,2002,Ongoing
Sweden,Romania,+,2002,Ongoing
Sweden,Belgium,-,1960,1965
Sweden,Belgium,+,2001,Ongoing
Sweden,Belgium,+,2002,Ongoing
Sweden,Cuba,-,1960,1965
Sweden,Republic of the Congo,+,1960,1965
Sweden,Ghana,+,1960,1965
Sweden,Tunisia,+,1960,1965
Sweden,Morocco,+,1960,1965
Sweden,Republic of Ireland,+,1960,1965
